# IAM Handwriting Database - Converted for CRNN Training
# Format: filename,transcription

word_00000.png,a
word_00001.png,have
word_00002.png,base
word_00003.png,Smiler
word_00004.png,to
word_00005.png,Rhodesia
word_00006.png,A
word_00007.png,over
word_00008.png,too
word_00009.png,of
word_00010.png,whose
word_00011.png,.
word_00012.png,man
word_00013.png,given
word_00014.png,any
word_00015.png,follow
word_00016.png,"
word_00017.png,,
word_00018.png,Answering
word_00019.png,possesses
word_00020.png,strip
word_00021.png,again
word_00022.png,his
word_00023.png,in
word_00024.png,Uganda
word_00025.png,of
word_00026.png,probably
word_00027.png,Quentin
word_00028.png,is
word_00029.png,qualities
word_00030.png,to
word_00031.png,miracle
word_00032.png,interests
word_00033.png,that
word_00034.png,mentions
word_00035.png,and
word_00036.png,to
word_00037.png,.
word_00038.png,distinction
word_00039.png,that
word_00040.png,we
word_00041.png,still
word_00042.png,and
word_00043.png,use
word_00044.png,.
word_00045.png,he
word_00046.png,stringer
word_00047.png,will
word_00048.png,of
word_00049.png,to
word_00050.png,be
word_00051.png,today
word_00052.png,up
word_00053.png,delineation
word_00054.png,the
word_00055.png,on
word_00056.png,of
word_00057.png,years
word_00058.png,.
word_00059.png,behind
word_00060.png,biggest
word_00061.png,The
word_00062.png,against
word_00063.png,.
word_00064.png,Market
word_00065.png,,
word_00066.png,will
word_00067.png,really
word_00068.png,Kennedy
word_00069.png,,
word_00070.png,of
word_00071.png,Dinsdale
word_00072.png,to
word_00073.png,kind
word_00074.png,this
word_00075.png,Samuel
word_00076.png,.
word_00077.png,aspects
word_00078.png,suitably
word_00079.png,from
word_00080.png,Levi
word_00081.png,of
word_00082.png,foster
word_00083.png,markings
word_00084.png,to
word_00085.png,get
word_00086.png,in
word_00087.png,upset
word_00088.png,may
word_00089.png,lovely
word_00090.png,to
word_00091.png,driven
word_00092.png,on
word_00093.png,Dr.
word_00094.png,Notes
word_00095.png,with
word_00096.png,all
word_00097.png,Hostage
word_00098.png,to
word_00099.png,him
word_00100.png,.
word_00101.png,quisitively
word_00102.png,be
word_00103.png,organised
word_00104.png,great
word_00105.png,position
word_00106.png,washes
word_00107.png,Klondykes
word_00108.png,19
word_00109.png,much
word_00110.png,letter
word_00111.png,sick
word_00112.png,blow
word_00113.png,roll-making
word_00114.png,who
word_00115.png,being
word_00116.png,magazine
word_00117.png,talks
word_00118.png,his
word_00119.png,opinion
word_00120.png,innumerable
word_00121.png,and
word_00122.png,miles
word_00123.png,Rhodesia
word_00124.png,Sir
word_00125.png,half
word_00126.png,churchyard
word_00127.png,ensure
word_00128.png,-
word_00129.png,ruthless
word_00130.png,by
word_00131.png,few
word_00132.png,,
word_00133.png,the
word_00134.png,abolition
word_00135.png,"
word_00136.png,"
word_00137.png,we
word_00138.png,not
word_00139.png,got
word_00140.png,of
word_00141.png,Unity
word_00142.png,Office
word_00143.png,all-time
word_00144.png,expenditure
word_00145.png,Taxation
word_00146.png,whose
word_00147.png,and
word_00148.png,oddly
word_00149.png,.
word_00150.png,is
word_00151.png,.
word_00152.png,house
word_00153.png,a
word_00154.png,case
word_00155.png,Government
word_00156.png,much
word_00157.png,Consultative
word_00158.png,is
word_00159.png,and
word_00160.png,effective
word_00161.png,do
word_00162.png,and
word_00163.png,and
word_00164.png,that
word_00165.png,is
word_00166.png,the
word_00167.png,to
word_00168.png,didn't
word_00169.png,are
word_00170.png,the
word_00171.png,Then
word_00172.png,who
word_00173.png,compared
word_00174.png,sides
word_00175.png,his
word_00176.png,them
word_00177.png,is
word_00178.png,for
word_00179.png,had
word_00180.png,.
word_00181.png,grip
word_00182.png,his
word_00183.png,,
word_00184.png,material
word_00185.png,talks
word_00186.png,.
word_00187.png,of
word_00188.png,harvest
word_00189.png,sailor
word_00190.png,her
word_00191.png,is
word_00192.png,training
word_00193.png,authority
word_00194.png,,
word_00195.png,streets
word_00196.png,"
word_00197.png,the
word_00198.png,here
word_00199.png,major
word_00200.png,Powell
word_00201.png,Well
word_00202.png,his
word_00203.png,and
word_00204.png,yesterday
word_00205.png,the
word_00206.png,THE
word_00207.png,Council
word_00208.png,.
word_00209.png,for
word_00210.png,end
word_00211.png,with
word_00212.png,will
word_00213.png,will
word_00214.png,accepted
word_00215.png,He
word_00216.png,of
word_00217.png,solve
word_00218.png,very
word_00219.png,of
word_00220.png,a
word_00221.png,sinking
word_00222.png,is
word_00223.png,of
word_00224.png,,
word_00225.png,should
word_00226.png,Addressing
word_00227.png,it
word_00228.png,law
